department,date_min,date_max,n_observado,n_esperado,pct_cobertura,n_faltantes
TACNA,2000-01-03,2023-12-25,1244,1252,99.36,8
LA LIBERTAD,2000-01-03,2023-12-25,1249,1252,99.76,3
JUNIN,2000-01-03,2023-12-25,1249,1252,99.76,3
UCAYALI,2000-01-03,2023-12-25,1249,1252,99.76,3
CAJAMARCA,2000-01-03,2023-12-25,1249,1252,99.76,3
AREQUIPA,2000-01-03,2023-12-25,1249,1252,99.76,3
AMAZONAS,2000-01-03,2023-12-25,1249,1252,99.76,3
TUMBES,2000-01-03,2023-12-25,1249,1252,99.76,3
ICA,2000-01-03,2024-01-01,1250,1253,99.76,3
PUNO,2000-01-03,2023-12-25,1249,1252,99.76,3
APURIMAC,2000-01-03,2023-12-25,1249,1252,99.76,3
CUSCO,2000-01-03,2023-12-25,1249,1252,99.76,3
MOQUEGUA,2000-01-03,2023-12-25,1249,1252,99.76,3
PASCO,2000-01-03,2023-12-25,1249,1252,99.76,3
ANCASH,2000-01-03,2023-12-25,1249,1252,99.76,3
AYACUCHO,2000-01-03,2023-12-25,1249,1252,99.76,3
SAN MARTIN,2000-01-03,2024-01-01,1250,1253,99.76,3
HUANCAVELICA,2000-01-03,2023-12-25,1249,1252,99.76,3
PIURA,2000-01-03,2024-01-01,1250,1253,99.76,3
MADRE DE DIOS,2000-01-03,2023-12-25,1249,1252,99.76,3
HUANUCO,2000-01-03,2023-12-25,1249,1252,99.76,3
LAMBAYEQUE,2000-01-03,2023-12-25,1249,1252,99.76,3
LORETO,2000-01-03,2024-01-01,1250,1253,99.76,3
CALLAO,2000-01-03,2023-12-25,1249,1252,99.76,3
LIMA,2000-01-03,2023-12-25,1250,1252,99.84,2
