department,cases_total__is_iqr,cases_total__is_mad,cases_total__is_roll,cases_total__is_seas,hosp_total__is_iqr,hosp_total__is_mad,hosp_total__is_roll,hosp_total__is_seas,deaths_total__is_iqr,deaths_total__is_mad,deaths_total__is_roll,deaths_total__is_seas,incidence_cases_total__is_iqr,incidence_cases_total__is_mad,incidence_cases_total__is_roll,incidence_cases_total__is_seas,incidence_hosp_total__is_iqr,incidence_hosp_total__is_mad,incidence_hosp_total__is_roll,incidence_hosp_total__is_seas,is_iforest,n_obs
AMAZONAS,59,46,0,61,46,28,0,55,295,0,18,0,70,62,0,71,50,39,0,53,12,1197
ANCASH,59,31,0,54,28,21,0,23,28,0,9,0,63,36,0,59,44,19,0,22,12,1197
APURIMAC,51,33,1,34,25,36,0,24,282,0,21,0,55,42,1,39,29,29,0,29,12,1197
AREQUIPA,34,8,0,10,28,23,0,15,75,46,5,40,42,18,0,10,33,21,0,10,12,1197
AYACUCHO,56,37,0,51,89,62,1,71,115,0,14,5,50,39,0,45,76,60,1,62,12,1197
CAJAMARCA,63,53,1,63,61,49,0,25,57,0,16,0,63,58,1,68,59,34,0,28,12,1197
CUSCO,57,45,0,31,47,20,1,12,33,15,0,11,63,44,0,35,48,26,1,15,12,1197
HUANCAVELICA,78,78,0,78,54,37,0,37,28,13,0,12,78,71,0,88,58,33,0,43,12,1197
HUANUCO,40,28,0,41,38,22,0,13,68,1,4,1,44,35,0,45,44,23,0,16,12,1197
ICA,55,55,1,49,47,45,0,37,143,0,16,0,62,50,1,57,45,37,0,38,12,1197
JUNIN,60,44,1,56,45,33,1,17,98,0,9,2,60,56,1,65,49,29,1,13,12,1197
LA LIBERTAD,36,16,1,27,44,32,0,35,113,82,6,44,41,19,1,29,33,19,0,22,12,1197
LAMBAYEQUE,71,43,0,53,75,89,5,70,78,0,33,0,76,56,0,54,88,96,5,74,12,1197
LIMA,13,7,0,9,18,5,0,11,56,56,1,96,12,2,0,6,14,2,0,2,12,1199
LORETO,46,37,0,27,65,42,0,28,98,0,3,3,43,31,0,23,61,37,0,29,12,1197
MADRE DE DIOS,37,37,2,25,84,60,4,46,86,0,28,0,31,24,2,28,43,21,4,33,12,1197
MOQUEGUA,38,38,0,28,57,18,2,31,232,0,23,0,37,19,0,24,36,30,2,22,12,1197
PASCO,47,21,0,13,50,50,0,13,255,0,21,0,58,23,0,16,51,45,0,11,12,1198
PIURA,51,31,1,33,89,74,0,82,145,0,6,21,42,36,1,40,78,69,0,80,12,1197
PUNO,81,59,0,55,45,32,0,26,16,30,3,14,86,62,0,62,52,31,0,24,12,1197
SAN MARTIN,38,27,2,36,56,35,1,37,254,0,26,0,39,33,2,45,55,34,1,25,12,1197
TACNA,34,22,1,22,28,0,7,12,140,0,14,0,56,30,1,35,39,0,7,11,12,1192
TUMBES,45,28,3,45,46,0,9,12,26,0,13,0,39,30,3,41,65,0,9,13,12,1197
UCAYALI,43,26,0,30,36,24,1,25,18,0,22,0,50,29,0,37,67,40,1,45,12,1197
